iter	Passed	Remaining
0	102	1951
1	159	1439
2	206	1172
3	231	927
4	270	812
5	291	681
6	324	602
7	382	573
8	473	578
9	500	500
10	550	450
11	595	396
12	642	346
13	695	297
14	730	243
15	749	187
16	781	137
17	821	91
18	862	45
19	896	0
